OBJECTID,TRACT,GEOID,ACRES,SQ_MILES,Shape_Length,Shape_Area,FAGI_TOTAL_2010,FAGI_MEDIAN_2010,FAGI_TOTAL_2013,FAGI_MEDIAN_2013,FAGI_TOTAL_2011,FAGI_MEDIAN_2011,FAGI_TOTAL_2012,FAGI_MEDIAN_2012,FAGI_TOTAL_2014,FAGI_MEDIAN_2014,FAGI_TOTAL_2015,FAGI_MEDIAN_2015
27,1100,11001001100,414.2539778,0.64727184,5698.762332,1676426.38,361630195,101389,326529055,88358,410155292,97280,460087019,97640,449192481,113046,480166743,114189.5
28,1200,11001001200,300.9975507,0.47030868,4907.033192,1218093.879,284024809,79665,304763968,74166.5,315822137,74448,334717360,75515,314255746,91068.5,340349324,89304
29,1301,11001001301,705.1114613,1.10173667,8777.811293,2853484.862,271817059,76361.5,240485097,66620,333803307,67980,363121417,68904,333910086,76494,403703591,76325
30,1302,11001001302,393.41836,0.61471619,6378.54781,1592107.626,319818452,68999,405180643,73585,417821164,69520,443957414,72262,401733884,73354.5,488935701,75148
31,1401,11001001401,194.7810138,0.30434534,4033.370295,788250.8012,230011349,91172.5,207763895,79863.5,255563544,81219,291619848,85111,294699961,102872,298582687,96830.5
32,1402,11001001402,221.1892816,0.34560825,4867.514204,895121.27,176059601,98926,181523449,102986,186054316,101142.5,208055809.9,109684.5,216714384,120265,226932847,122810
33,502,11001000502,143.6782056,0.2244972,4037.961014,581445.0726,248468359,76777,252908312,75829,280426020,76905,324046430.6,76609,290539572.3,90718.5,316766139.2,89334
34,1803,11001001803,289.1744935,0.45183515,4709.910531,1170247.663,69030385,25312,76833849,26235,73783877,25460,85008159.3,26127,80454542,27382,86187145,27886.5
35,1804,11001001804,148.6879204,0.23232488,3404.953403,601718.6691,90687018.37,26365,101095037,26535.5,94000568,27016,101142730,27327,100111583,27144,109529081,28093.5
36,1901,11001001901,190.0412065,0.29693939,3629.655443,769069.4817,89722055.5,36750,96561062,37420,93389146,35486,98715158,38108,110110056,41377,119188692,42401
37,3301,11001003301,108.6302189,0.16973472,3304.154907,439610.9018,94626938,50955.5,118997087,52263,109592464,49060.5,119413477,51581,133621396,60466,152461285,64468
38,3302,11001003302,49.07735171,0.07668336,1890.785622,198608.9971,59721428.37,46371,82445643.83,51120,67070893,46580.5,76544783.24,49236,84411059.95,55925,98091822,61645
39,8804,11001008804,194.5054049,0.3039147,3936.333064,787135.4519,27927495,24539,32464257.52,25106.5,27994707,23754,33989464,23998.5,36934360,26995,42225948,29627
40,8903,11001008903,74.0038484,0.11563101,2991.03481,299482.951,33732629,25168,50045860,29334,34354171,24295,42943277,25774,54736070,30255,61273301,33866
41,8904,11001008904,112.8069603,0.17626088,3121.43913,456513.5745,31336668.91,23070.5,38466036.9,23445,33444738,23349.5,35689645.63,23597,43140351.51,24356.5,47867201,26051
42,9000,11001009000,359.7195472,0.5620618,5394.277842,1455733.369,56150253,43111,65837807.73,47746,53740241,41497,61387829,44821,83619685.28,52520,94751459,57961
43,9102,11001009102,453.5039912,0.70859999,6339.304691,1835265.55,60148337,28156,77312944,28794,64202101,27377,74568845.91,28926,79762070.62,30721.5,89120109.76,31903
44,9201,11001009201,158.3379306,0.24740302,3334.446804,640770.8751,28052728.79,37114,45375827.82,38115,31932270,36529.5,41782385.02,37939,56482503,45173,66594041,48118
45,9203,11001009203,145.121157,0.22675181,3471.344052,587284.4895,48343832,32780,62405590,35161,53291874,32934,57854799,33801,70251210,38854,78432565,41301
46,9204,11001009204,74.8843334,0.11700677,2526.496186,303046.1473,28552707,26231,34706643,26124,29833027,25945,33222221,25277,34168438,26411,37791141,28475
47,7200,11001007200,405.6675025,0.63385548,5365.257137,1641678.148,107909588,64030,186295174,70045,147535588,70485.5,183471831,74226,197488193,64040,247923152,69664
48,7301,11001007301,2439.892023,3.81233131,17862.98847,9873892.762,1673140,34010,3361568,40680,3109017,38200,3139475,40044.5,2419064,33378.5,4259994,47582
49,7304,11001007304,308.98569,0.48279014,5527.038453,1250420.731,36698222,22766,39995849.95,20922,37593142,22045,38956385,21596,42476757.47,22262,46570052,23679
50,7401,11001007401,357.7377754,0.55896528,6378.842229,1447713.423,16271306,18377.5,17706306,16504.5,16387522,17011.5,17334402,16731,14011455,17975,15637219,17739
51,7403,11001007403,80.58207072,0.12590949,3174.081577,326104.0724,26534651,24468,27739508,22754,26480238,23187,26796677,22942,27476513,23605,29354682,23579
52,7404,11001007404,199.1240547,0.31113134,4988.203673,805826.4642,35852862,26372,41892503,24785.5,39142259,26176,39740883,25212,42407920,25068,45389701,25906.5
53,7406,11001007406,91.35431258,0.14274111,2600.357547,369697.7888,18379045,19594.5,22222673,18214.5,20073849,18103,21564321,18133,23059323,21164,25139415,20219
54,7407,11001007407,150.8889619,0.235764,4692.193111,610625.9683,39030200,30728,43791436,29333.5,39577235,30210,44108527,29089,50949995,30110,56092745,32550
55,7408,11001007408,94.49100834,0.1476422,3911.211868,382391.5462,21984988,20813,22774343,18636,22572738,19635,22553935,19045,23518853,20030,24612841,19793.5
56,7409,11001007409,98.28496087,0.15357025,3046.210809,397745.1275,39191696,24851,40482342,21349.5,41624746,23520,41342314,21925.5,41640347,21652,44912587,23194
57,7502,11001007502,152.1498118,0.23773408,4792.907479,615728.4468,45577412,25027,50022193.2,24720,47562189,24670.5,46735112,24116.5,46799965,23785,49214213,23715
58,4600,11001004600,107.9646249,0.16869473,2900.631832,436917.3382,60318054,36871,93634428,41045,76955521,38515,84837124,39885,95317975,42801,109132266,46092.5
59,4701,11001004701,79.37474624,0.12402304,2917.412572,321218.2035,62945849,27406,104928195,36630,78637972,29027,96427153,32836,106712117,36532.5,145902602,45305
60,4702,11001004702,80.1862984,0.12529109,2950.758095,324502.4386,68048639,59074,106167879,69010,92778875,68605,108357349,67405.5,104919301,61331,138666390,69195
61,4801,11001004801,78.44606933,0.12257198,2458.972701,317459.9814,63801222,47244,99227482,52484,76691024,48478,90035901,53570,109555605,60609,122287899,63711
62,4802,11001004802,71.1905918,0.1112353,2192.317601,288098.1054,73241336.7,33975.5,115913258,41981,87920491,37146.5,108590991.4,40512,102577469,40676,119531192,45675
63,4901,11001004901,67.17793143,0.10496552,2112.98851,271859.4448,52574029,35398,77147230,44409,57630673,39410,66056089,43123,107168062,52044,136442151,59090
64,4902,11001004902,65.20095982,0.1018765,2052.282436,263858.9246,98407326,44608.5,123680131,52213.5,116868349,50705,126553450,51963,123848559,53770,141451695,59191.5
65,5001,11001005001,50.59006122,0.07904697,2114.927043,204730.7154,94309397,67622,124100006,74090,114164264,69871,126820603,72566.5,122794751,70213,147289866,78133
66,5002,11001005002,57.69594676,0.09014992,2245.140851,233487.2141,192352559,39733,266261760,53208,250076730,48270.5,278673551,51141,219968978,53829,259592000,59810.5
67,5201,11001005201,83.93588152,0.13114982,2661.842057,339676.4632,268298733,66130,401961716,75149,360312493,70538,397149782,73528,376053670,76106.5,442277202,81647.5
68,5301,11001005301,70.76334226,0.11056772,2322.239748,286369.0878,226732166,64826,288225330,72068,295640286,68569,343695487,71067,263936773,70086.5,326386690,76569.5
69,5500,11001005500,157.5255182,0.24613362,3987.966398,637483.1588,333923999,73032,409244354,78901.5,425105796,75480,505477215,77201.5,444403949,80908,536412412,81726
70,5600,11001005600,117.3822403,0.18340975,4364.539699,475029.0758,167255800,63663,192250360,61943.5,208921431,59263,248986836.8,64756,203331811,67936,233194623,67328
71,5800,11001005800,225.0419986,0.35162813,4111.144016,910712.6629,119511652,83192,175823623,89328,167620188,88884.5,151839744,87076,159463208,88725,171281204,100633.5
72,5900,11001005900,159.0928948,0.24858265,3377.371983,643826.1071,55624517.13,46136,89285287,47249,91864708,49222,90357257,49116,56008018,51855,73843853,52042
73,6202,11001006202,2821.333501,4.40833363,27060.07099,11417531.67,128235,102705,554878,52548,,,,,,,,
74,6400,11001006400,226.4751492,0.35386742,4676.886797,916512.4176,22543116,21222,36959590,25016,25389209,21449,28899876.26,20823,39572111,26737,50187446,28943.5
75,6600,11001006600,73.19528589,0.11436764,2663.238244,296210.8146,106170076,88338,117490965,80400,123630521,81172,136743813,87030,133316015,92949,138452048,90957
76,6700,11001006700,105.8274403,0.16535538,3020.444037,428268.4589,217100355,85648,233122093,83000,249708355,86231,255796748,88571,284608649,99852.5,302416019,101467.5
77,6801,11001006801,60.43495636,0.09442962,2060.756247,244571.5927,52747534,48014,76178458,51207.5,59126678,48635.5,64998901,48317,79312724,58579,90648226,61861
78,6802,11001006802,69.83554626,0.10911804,2545.70931,282614.4306,73798559,58385,96128685,63716,84563148,61279.5,90361240,60771.5,106607317,69016.5,117623354,70190
